plot,Tree_Num,Loc_X,Loc_Y,spp,ht,DBH1989,Cnpy1989,DBH1998,Cnpy1998,DBH2002,Cnpy2002,DBH2010,Cnpy2010,Notes
7,957,16.1,36.5,ACRU,9,7.8,5,9.5,5,10.1,5,11.2,4,
7,958,16.2,36.7,ACRU,8,5.5,5,7,5,7.6,5,8.1,5,
7,959,16.3,36.5,ACRU,7,4,5,5,5,5.3,5,5.45,5,
7,960,16.4,36.6,ACRU,8,5.2,5,6.2,5,6.6,5,7.15,5,
7,961,15.8,42.5,ACRU,6,3.6,5,5.1,5,5.7,5,6.5,5,
7,962,19.6,40.6,TSCA,9,24,4,26.8,4,28.6,4,31.2,3,
7,963,17.6,46.5,-99,0,9.1,7,9.1,7,9.1,7,9.1,7,Down
7,964,16.4,49.5,PCRU,13,19.9,2,21.2,2,21.1,2,23.4,2,
7,965,11.8,26.1,PIST,4,4.5,5,8.5,5,9.8,5,11.7,4,
7,966,12.8,27,PIST,4,3.9,5,7.1,5,7.9,5,8.25,5,
