block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE51,1991,1085,58,-501,PIST,7.37,S,L,7.62,S,L,6.86,NA,SN,8,NA,RB,NA,NA,NA,RB,NA,NA,D3,1991: SNAPPED AT ~10FT.; NO BARK; 2001: 10'; 59 DEG; D2; 2011: BOLE BURIED,moist,Severe,0
SE51,1991,1086,56.5,-522.5,QURU,17.53,S,L,18.03,S,L,19.56,I,L,20.3,I,L,NA,21.1,I,L,NA,NA,NA,1991: SKELETONIZING,moist,Moderate,0
SE51,1991,1087,60,-524.5,ACRU,6.35,S,L,6.35,S,L,6.35,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: SNAPPED AT ~9FT.; TOP HANGING IN TREE 84DEG.,moist,Moderate,0
SE51,1991,1088,59.5,-529,ACRU,6.6,S,L,7.11,S,L,5.08,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAPPED AT BASE; D1; 174DEG.; 20.5FT.; 2001: D3 STUMP ONLY,moist,Moderate,0
SE51,1991,1089,55.5,-565,QURU,24.89,CD,L,26.92,CD,L,31.24,CD,L,34.5,CD,L,NA,38.2,CD,L,NA,NA,NA,1991: LIGHT SKELETONIZING,moist,Moderate,0
SE51,1991,1090,59,-576,ACRU,NA,NA,NA,5.08,S,L,5.08,NA,RB,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: NO BARK AT DBH; D2; 329DEG.; 3FT.,moist,Moderate,0
SE51,1991,1091,59,-598.5,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D3; 2001: D3; 2011:NEARLY GONE,moist,Moderate,0
SE51,1991,1092,62,-502.5,CADE,25.4,NA,WC,NA,NA,WC,NA,NA,WC,NA,NA,WC,NW,NA,NA,WC,NA,NA,D3,1969: WINDTHROWN: LOCATED AT CENTER OF MOUND; 1991: D3; 2001: D3,moist,Severe,0
SE51,1991,1093,64.5,-531,QURU,17.27,S,L,17.78,S,L,18.03,NA,D,15,NA,RB,NA,14.1,NA,RB,42.3,309,D2,2001: D2; BOLE CAUGHT IN STONE WALL; 309 DEG; 42.5',moist,Moderate,0
SE51,1991,1094,64,-536.5,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: ? IF SPECIES IS WP,moist,Moderate,0
SE51,1991,1095,62,-565.5,QURU,9.4,S,L,NA,NA,D,8.13,NA,D,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: NO BARK AT DBH; 2001: STUMP ONLY D3,moist,Moderate,0
SE51,1991,1096,63.5,-574,QUAL,6.6,S,D,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: CHECK IF STUMP,moist,Moderate,0
