plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,77,91,13.2,2,0,13.9,2,0,14.6,2,0,0,0,9,0,0,0,0,0,0
A0,78,76,3.3,4,0,3.7,4,38,3.8,4,3,4,4,31,5.3,4,1,7,3,3
A0,79,76,4.2,4,8,4.4,4,8,4.6,4,0,4.7,4,0,5.7,4,0,7.2,4,2
A0,80,76,4.2,4,0,4.3,4,8,4.4,4,8,0,0,9,0,0,0,0,0,0
A0,81,76,2.8,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,690,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
A0,691,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,2,4,0
A0,82,76,2.9,4,8,3.3,4,8,3.5,4,0,3.7,4,0,4.5,4,1,5.5,4,0
A0,692,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,4,0
A0,693,78,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0,2.3,4,0
A0,83,76,2.3,4,8,2.7,4,8,3.1,4,0,3.4,4,1,4.5,4,0,5.9,4,0
A0,84,40,14.2,3,0,14.3,4,0,0,0,9,0,0,0,0,0,0,0,0,0
A0,85,76,2.2,4,8,2.5,4,0,2.7,4,0,2.8,4,0,3.2,4,0,3.7,4,0
A0,86,40,19,2,0,20.1,2,0,21.5,2,0,23,2,1,24.6,2,1,28.5,2,1
A0,626,76,0,0,0,0,0,0,1,4,83,0,0,9,0,0,0,0,0,0
A0,87,40,16.3,2,0,16.9,2,0,17.6,2,0,18.4,2,0,19.5,2,0,21.8,2,0
A0,694,76,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,9
A0,554,76,0,0,0,1.1,4,8,1.1,4,0,1.2,4,1,1.3,4,1,1.3,4,1
A0,695,76,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1.2,4,0
A0,88,56,14.5,2,0,15,3,0,15.6,2,0,16,2,0,16.8,2,0,18.4,2,0
A0,696,76,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1.3,4,1
A0,697,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
